,date,symbol,open,close,low,high,volume,change,,BUY,SELL,vol/meanVal,SUM BUY,SUM BUY
6274,04/12/2013,AAPL,80.78571314,80.71428686,80.11714171,81.31285857,94452400,-0.233079538,80.91143043,BUY,FALSE,1.209226297,231.9059268,231.9059268
6275,05/12/2013,AAPL,81.80714414,81.12857057,80.91571814,82.162857,111895000,0.513271846,81.31285857,BUY,FALSE,1.359078021,232.4191987,232.4191987
6276,06/12/2013,AAPL,80.82714086,80.00285343,79.93856814,80.96428686,86088100,-1.387571767,82.162857,FALSE,SELL,0.970847651,232.4191987,
6277,09/12/2013,AAPL,80.12857057,80.91857143,80.12857057,81.36856843,80123400,1.144606674,82.162857,FALSE,FALSE,0.88308474,232.4191987,
6278,10/12/2013,AAPL,80.51142886,80.79285429,80.17142486,81.12571714,69567400,-0.15536253,82.162857,FALSE,FALSE,0.746828223,232.4191987,
6279,11/12/2013,AAPL,81,80.19428257,79.95571143,81.56714629,89929700,-0.740872105,82.162857,FALSE,FALSE,0.95290334,232.4191987,
6280,12/12/2013,AAPL,80.30571743,80.07714086,80.00428771,80.76285557,65572500,-0.146072396,82.162857,FALSE,FALSE,0.702566364,232.4191987,
6281,13/12/2013,AAPL,80.40714257,79.20428471,79.09571071,80.41143043,83205500,-1.090019125,82.162857,FALSE,FALSE,0.916321178,232.4191987,
6282,16/12/2013,AAPL,79.28857429,79.64286043,79.28713986,80.37714386,70648200,0.553727266,82.162857,FALSE,FALSE,0.77489585,232.4191987,
6283,17/12/2013,AAPL,79.40142829,79.28428643,79.05428314,79.91999814,57475600,-0.450227425,82.162857,FALSE,FALSE,0.665054276,232.4191987,
6284,18/12/2013,AAPL,78.52857214,78.681427,76.97142786,78.77857214,141465800,-0.760376939,82.162857,FALSE,FALSE,1.748741405,232.4191987,
6285,19/12/2013,AAPL,78.5,77.77999871,77.67571257,78.57142643,80077200,-1.145668456,81.56714629,FALSE,FALSE,0.935512784,232.4191987,
6286,20/12/2013,AAPL,77.91857143,78.431427,77.83142857,78.80142971,109103400,0.837526743,81.56714629,FALSE,FALSE,1.323823939,232.4191987,
6287,23/12/2013,AAPL,81.14286043,81.44142914,80.39428714,81.53142543,125326600,3.837750064,81.56714629,FALSE,FALSE,1.479358244,232.4191987,
6288,24/12/2013,AAPL,81.412857,81.09571071,80.86142729,81.69714357,41888700,-0.424499464,81.56714629,BUY,FALSE,0.46940855,231.9946992,231.9946992
