Date,Open,High,Low,Close,Change,order,RSI,EMA
"Jul 14, 2013",98.7,98.7,92.86,94.69,-3.57%,,52.09411046,88.90936094
"Jul 15, 2013",93.61,101.9,93.11,98.4,3.84%,,55.30921571,90.02590671
"Jul 16, 2013",98.89,99.86,96.14,97.45,-0.97%,,54.3041972,90.89932945
"Jul 17, 2013",96.71,99.97,96.18,98.5,1.07%,,55.27160646,91.79352598
"Jul 18, 2013",98.5,98.8,86.2,90.58,-8.38%,,47.16125224,91.65075822
"Jul 19, 2013",90.07,95.2,87.8,92.17,1.74%,,48.78598952,91.71184549
"Jul 20, 2013",92,93.1,89.27,89.39,-3.06%,,46.1159706,91.4386872
"Jul 21, 2013",89.82,91.95,88,90.76,1.52%,,47.63688629,91.35884164
"Jul 22, 2013",92,92,90.08,91.61,0.93%,,48.60614412,91.38838969
"Jul 23, 2013",91.6,96.82,91.6,95.56,4.22%,,52.96339601,91.87916737
"Jul 24, 2013",95.56,95.99,93,94.51,-1.10%,,51.70840816,92.18867709
"Jul 25, 2013",94.5,97.33,93.87,96.9,2.50%,,54.35939963,92.74295037
"Jul 26, 2013",96.95,97.47,96,96.02,-0.91%,,53.20134545,93.12848562
"Jul 27, 2013",96.02,97,93,94.12,-2.00%,,50.69040948,93.24513437
"Jul 28, 2013",94.4,100.58,94,99.76,5.82%,,57.15477153,94.01158915
"Jul 29, 2013",98.6,102.5,98.45,101.2,1.43%,,58.64545553,94.85728455
"Jul 30, 2013",101.49,107.99,100.47,107.99,6.49%,,64.85474358,96.4023099
"Jul 31, 2013",107.95,111.34,103.88,106.09,-1.78%,,62.04730664,97.54203814
"Aug 01, 2013",106.21,108,103.01,104,-1.99%,,59.02073972,98.30179836
"Aug 02, 2013",104.86,108,101.21,104.5,0.48%,,59.52933935,99.03099855
"Aug 03, 2013",104.5,105.78,102,104,-0.48%,,58.74417349,99.61558696
"Aug 04, 2013",104.95,105.95,103.52,105.14,1.09%,,60.03834935,100.2655179
"Aug 05, 2013",105.12,107.77,105,106.22,1.02%,,61.27764065,100.9660452
"Aug 06, 2013",106.72,107.38,105.56,106.75,0.50%,,61.90204857,101.6465105
"Aug 07, 2013",106.75,106.75,106.75,106.75,0.00%,,61.90204857,102.246921
"Aug 08, 2013",106.75,106.75,101.26,103,-3.58%,,54.66824826,102.3355185
"Aug 09, 2013",103.07,105.75,101.94,102.8,-0.19%,,54.30376729,102.3901634
"Aug 10, 2013",102.8,103.9,102.41,103,0.19%,,54.62952724,102.4619089
"Aug 11, 2013",103,105.19,102.75,105,1.92%,,57.86435822,102.7605079
"Aug 12, 2013",105,108,103.5,106.64,1.55%,,60.36015259,103.2169187
"Aug 13, 2013",106.99,109.35,104.65,109,2.19%,,63.69290833,103.8972812
"Aug 14, 2013",109.56,115,108,112.56,3.21%,,68.0559041,104.9164246
"Aug 15, 2013",112.56,113.25,109,109.99,-2.31%,,62.24105947,105.5133158
"Aug 16, 2013",110,112.3,108.52,108.99,-0.91%,,60.08964777,105.9223375
"Aug 17, 2013",108.99,113.75,108.22,113.5,4.05%,,65.82676662,106.8138272
"Aug 18, 2013",112.75,114.69,112,113.5,0.00%,,65.82676662,107.6004358
"Aug 19, 2013",113.38,123.06,111.77,119,4.73%,,71.60069632,108.941561
"Aug 20, 2013",119,123.01,117.51,121.2,1.83%,,73.52744866,110.3837303
"Aug 21, 2013",121.21,124.91,119.68,123.3,1.72%,,75.25334981,111.9032914
"Aug 22, 2013",123.3,123.5,120.6,121.15,-1.76%,,70.20670696,112.9911395
"Aug 23, 2013",122,122,118.44,118.5,-2.21%,,64.46801238,113.6392407
"Aug 24, 2013",118.51,121.39,118.02,120.05,1.30%,,66.20789619,114.3934477
"Aug 25, 2013",119.6,122.99,119.17,122.11,1.70%,,68.42108352,115.3012774
"Aug 26, 2013",122.11,122.75,119.93,120.06,-1.69%,,63.93359458,115.8611271
"Aug 27, 2013",120.07,127.24,120.07,126.5,5.23%,,70.48300585,117.1127592
"Aug 28, 2013",126.48,127.32,122.62,122.62,-3.12%,,63.0538181,117.7606699
"Aug 29, 2013",122.62,123.7,122.21,122.39,-0.19%,,62.63237727,118.305297
"Aug 30, 2013",122.35,135.75,120.99,133.49,8.68%,,72.26645967,120.0917326
"Aug 31, 2013",133.09,140.89,132.72,135.35,1.38%,,73.49940864,121.8868229
