"","Date","Open","High","Low","Close","Volume","Change","Order","RSI","EMA","S.P500"
"1537",2017-01-06,71.199997,72.5,67.900002,70.800003,12469900,-2.64823002,"hold",27.54011714,86.87241723,2276.97998
"1538",2017-01-09,71.5,72.699997,68.300003,70.5,8771000,-0.424633325,"sell",27.3982515,84.9462505,2268.899902
"1539",2017-01-10,69.099998,71.599998,67.800003,69.199997,9036900,-1.861189055,"sell",26.75508818,83.09375008,2268.899902
"1540",2017-01-11,69.599998,72.199997,66.099998,66.5,15269400,-3.979887161,"hold",25.42038659,81.14154419,2275.320068
"1541",2017-01-12,67.599998,73.099998,66.300003,66.5,21940800,0,"hold",25.42038659,79.41900958,2270.439941
"1542",2017-01-13,65.800003,68.199997,64.800003,66.699997,12159200,0.300296028,"hold",25.73863795,77.92265516,2274.639893
"1543",2017-01-17,68.5,69,65.699997,66.400002,15351000,-0.450782134,"hold",25.56242919,76.56704891,2267.889893
"1544",2017-01-18,65.199997,66.400002,63.799999,65.699997,13153900,-1.059820677,"buy",25.13010647,75.28857221,2271.889893
"1545",2017-01-19,65,68.300003,64.5,67.199997,14181900,2.257432306,"sell",27.94239927,74.33697513,2263.689941
"1546",2017-01-20,65.699997,66.199997,61.900002,62.099998,18681300,-7.892724615,"sell",24.56396616,72.89733076,2271.310059
"1547",2017-01-23,62.200001,64.300003,60.900002,61,16328400,-1.787209256,"sell",23.89295764,71.49764479,2265.199951
"1548",2017-01-24,59.5,59.599998,54.599998,55.200001,16475500,-9.991089277,"sell",20.68450662,69.58027493,2280.070068
"1549",2017-01-25,53.5,54.200001,52.099998,52.599998,11761200,-4.824688968,"hold",19.42522688,67.58259529,2298.370117
"1550",2017-01-26,52.900002,54.299999,52,53.200001,12688500,1.134233342,"sell",20.62615966,65.89052537,2296.679932
"1551",2017-01-27,52.799999,53.799999,51.599998,52.099998,11424800,-2.089350477,"buy",20.03654592,64.26811039,2294.689941
"1552",2017-01-30,54.099998,59.299999,54.099998,54.900002,27235000,5.234847457,"hold",25.8472151,63.16597999,2280.899902
"1553",2017-01-31,55.799999,57.700001,54.200001,54.400002,21515000,-0.914919432,"sell",25.49099581,62.13468846,2278.870117
"1554",2017-02-01,52.099998,53.700001,51.099998,52.400002,18233900,-3.745756113,"buy",24.06246852,60.98943123,2279.550049
"1555",2017-02-02,53.299999,54.099998,52.200001,53.299999,13057800,1.702968292,"sell",26.07025127,60.08479215,2280.850098
"1556",2017-02-03,51.299999,51.799999,50,51,14592500,-4.411067969,"hold",24.30188785,59.01599307,2297.419922
"1557",2017-02-06,52.099998,52.299999,50.400002,51.099998,12439500,0.195882535,"hold",24.54154069,58.08469953,2292.560059
"1558",2017-02-07,50.700001,51.900002,50.5,51.700001,11978800,1.167334279,"hold",26.05425707,57.33355853,2293.080078
"1559",2017-02-08,52,53.299999,50.700001,51.299999,12889700,-0.776706817,"sell",25.68458591,56.623728,2294.669922
"1560",2017-02-09,50.700001,50.900002,48.200001,49.200001,15445600,-4.179708886,"sell",23.77719831,55.75034835,2307.870117
"1561",2017-02-10,48,48.299999,46.900002,47.599998,11435500,-3.30609246,"sell",22.41159147,54.7914836,2316.100098
"1562",2017-02-13,45.900002,46.200001,44.200001,44.5,15201200,-6.734353005,"sell",20.01326525,53.58072083,2328.25
"1563",2017-02-14,44.5,44.599998,40.599998,40.700001,17960600,-8.926107215,"buy",17.53599832,52.06534202,2337.580078
"1564",2017-02-15,40.599998,43.299999,40,43.200001,21674100,5.961240138,"hold",24.18492624,51.02236073,2349.25
"1565",2017-02-16,43.200001,48.099998,43.099998,43.599998,27806500,0.921658609,"hold",25.22377463,50.14914158,2347.219971
"1566",2017-02-17,45.799999,46.5,43.599998,44,15229000,0.913252943,"buy",26.31117221,49.42571316,2351.159912
"1567",2017-02-21,42.700001,45.200001,42.400002,45,13799800,2.247285585,"hold",29.08749633,48.90504102,2365.379883
"1568",2017-02-22,45.700001,47,44.299999,45.400002,16467900,0.884965933,"buy",30.22001723,48.49268349,2362.820068
"1569",2017-02-23,45.5,49.099998,45.200001,47.799999,17940200,5.151346948,"sell",36.74734446,48.4111912,2363.810059
"1570",2017-02-24,51.299999,51.799999,46.299999,46.700001,22038800,-2.328143249,"sell",35.12555811,48.2098747,2367.340088
"1571",2017-02-27,46.599998,47.400002,44.099998,46,16603900,-1.51027896,"buy",34.09436101,47.94988945,2369.75
"1572",2017-02-28,46.599998,49,45.900002,48.5,16102600,5.292240145,"sell",40.78096785,48.01460833,2363.639893
"1573",2017-03-01,44.299999,46.5,43.700001,46.400002,21514000,-4.426429561,"hold",37.35274321,47.82465465,2395.959961
"1574",2017-03-02,46.299999,47.5,44.700001,46.599998,17256700,0.430099588,"sell",37.88825934,47.68057739,2381.919922
"1575",2017-03-03,45.400002,45.400002,43.5,44,14447300,-5.741086429,"sell",33.83859352,47.24756829,2383.120117
"1576",2017-03-06,43.599998,44.099998,41.799999,42.299999,13636300,-3.940257151,"hold",31.47009339,46.66550131,2375.310059
"1577",2017-03-07,42.200001,43.099998,40.799999,42.200001,11894500,-0.236681767,"hold",31.33117345,46.14014834,2368.389893
"1578",2017-03-08,41.299999,43.099998,40.5,42.799999,13823300,1.411783448,"hold",33.2355593,45.74718959,2362.97998
"1579",2017-03-09,42.299999,43.799999,41.299999,42.400002,13537200,-0.938966982,"sell",32.58673401,45.35340282,2364.870117
"1580",2017-03-10,41.400002,42.700001,41,41.299999,11636100,-2.628593365,"sell",30.80567881,44.87653178,2372.600098
"1581",2017-03-13,40.799999,41.299999,39.299999,39.5,11027700,-4.456180385,"buy",28.09926283,44.24399863,2373.469971
"1582",2017-03-14,39.799999,41.400002,39.200001,40.900002,17781100,3.482944004,"sell",33.02760308,43.85058726,2365.449951
"1583",2017-03-15,39.900002,40.200001,37.099998,37.799999,20639900,-7.882103578,"sell",28.38763774,43.13875335,2385.26001
"1584",2017-03-16,37.310001,37.549999,36.09,36.279999,5753800,-4.104247849,"sell",26.42719187,42.33184107,2381.379883
"1585",2017-03-17,35.73,35.869999,34.299999,35.349998,3943600,-2.596826192,"hold",25.27698646,41.51044777,2378.25
"1586",2017-03-20,35.299999,35.470001,34.459999,35.41,3240200,0.169593036,"buy",25.50227257,40.79274803,2373.469971
"1587",2017-03-21,34.099998,38.779999,33.57,38.07,8485000,7.243230427,"hold",34.87617679,40.47242473,2344.02002
"1588",2017-03-22,38.779999,39.880001,37.299999,38.490002,5782800,1.097194886,"buy",36.24037553,40.23919853,2348.449951
"1589",2017-03-23,39.189999,41.490002,37.419998,41.099998,5393100,6.560955358,"sell",44.07972807,40.34046906,2345.959961
"1590",2017-03-24,39.860001,43.200001,38.139999,39.560001,8226600,-3.818954081,"sell",40.88548259,40.24864928,2343.97998
"1591",2017-03-27,42.689999,43.200001,37.279999,37.939999,6282400,-4.181259388,"sell",37.78368104,39.97704337,2341.590088
"1592",2017-03-28,37.189999,37.290001,33.75,33.900002,6795600,-11.25908648,"hold",31.38834373,39.26209732,2358.570068
"1593",2017-03-29,33.610001,34.150002,32.900002,33.619999,3340500,-0.829397515,"hold",30.9967447,38.59832105,2361.129883
"1594",2017-03-30,33.700001,34.52,33.279999,33.84,3392300,0.65224365,"buy",31.71756803,38.03851857,2368.060059
"1595",2017-03-31,33.919998,35.18,33.470001,35.080002,3484500,3.598768978,"hold",35.78903457,37.6904578,2362.719971
"1596",2017-04-03,35.07,37.93,34.709999,35.389999,5143800,0.879804158,"sell",36.80354012,37.41981559,2358.840088
"1597",2017-04-04,36.34,36.66,34.150002,34.48,4161900,-2.604982031,"buy",35.05274484,37.07395493,2360.159912
"1598",2017-04-05,33.689999,36.950001,32.939999,36.740002,5833400,6.348668843,"sell",42.38344792,37.03466635,2352.949951
"1599",2017-04-06,35.91,36.459999,33.849998,35.400002,6564400,-3.715425759,"buy",39.53414981,36.8423529,2357.48999
"1600",2017-04-07,36.439999,38.169998,35.619999,37.919998,6195500,6.876674801,"buy",46.78010077,36.96913468,2355.540039
"1601",2017-04-10,38.240002,40.68,37.290001,40.68,5885800,7.025794654,"buy",53.37087881,37.40570707,2357.159912
"1602",2017-04-11,42.73,45.240002,42.09,44.349998,9046000,8.637609248,"hold",60.3944749,38.22268247,2353.780029
"1603",2017-04-12,44.52,45.720001,43.23,44.799999,6118800,1.009545344,"buy",61.16686567,38.99648441,2344.929932
"1604",2017-04-13,45.110001,47.189999,43.27,46.490002,7293900,3.702916162,"sell",64.00590398,39.87807472,2328.949951
"1605",2017-04-17,44.93,45.029999,41.830002,41.84,4799800,-10.5384459,"sell",52.60916582,40.10888946,2349.01001
"1606",2017-04-18,42.830002,44.369999,41,41,5754500,-2.028075305,"buy",50.84782364,40.21372599,2342.189941
"1607",2017-04-19,39.82,43.68,39.25,43.099998,5931900,4.9950884,"sell",54.91195728,40.55328741,2338.169922
"1608",2017-04-20,41.889999,43.220001,40.169998,40.880001,5733800,-5.288198035,"hold",50.18762872,40.5917243,2355.840088
"1609",2017-04-21,41.509998,42.950001,41.02,41.209999,4928000,0.803995073,"sell",50.8643556,40.6644625,2348.689941
"1610",2017-04-24,34.459999,35.580002,32.189999,32.419998,7287800,-23.99054665,"sell",36.60076947,39.6945255,2374.149902
"1611",2017-04-25,31.389999,31.76,30.75,30.879999,3712000,-4.866676184,"buy",34.76156224,38.65752238,2388.610107
"1612",2017-04-26,31.040001,32.470001,30.809999,31.469999,4537500,1.892598653,"sell",36.0866609,37.8119314,2387.449951
"1613",2017-04-27,30.790001,31.639999,30.700001,30.860001,3450700,-1.957379996,"hold",35.28859256,36.99405723,2388.77002
"1614",2017-04-28,30.93,31.639999,30.799999,30.91,2847400,0.16188768,"sell",35.41467217,36.27828579,2384.199951
"1615",2017-05-01,30.26,30.34,27.959999,28.469999,4351200,-8.222888998,"hold",32.12522068,35.35966382,2388.330078
"1616",2017-05-02,28.4,29.190001,28.290001,28.6,3154300,0.455585166,"buy",32.48503767,34.56440925,2391.169922
"1617",2017-05-03,29.309999,30.07,28.799999,29.76,3427300,3.975849214,"sell",35.7576218,33.99918463,2388.129883
"1618",2017-05-04,28.83,30.34,28.16,28.27,4813200,-5.136403826,"hold",33.51070342,33.32516291,2389.52002
"1619",2017-05-05,28.190001,28.84,27.879999,28.59,3056600,1.125583463,"sell",34.46317594,32.76808492,2399.290039
